temperatura,epsilon,M,m,ch,chi
1.09,-1.5730879999999998,-2036.16,0.8144640000000001,12456.41866880579,8204.282344130312
1.1,-1.5565120000000001,-2005.68,0.802272,13643.415078428063,12495.192578849721
1.11,-1.538656,-1980.32,0.7921279999999999,12771.086364908757,9670.80125022982
1.12,-1.5105600000000001,-1920.2,0.76808,18038.447521865888,17017.3833819242
1.13,-1.476352,-1864.88,0.7459520000000001,13530.237932748481,22893.864547588943
1.14,-1.450976,-1786.0,0.7144,16715.980427258626,21405.656999641964
1.15,-1.4336959999999999,-1748.84,0.6995359999999999,15568.984529917829,23469.187577639754
1.16,-1.39632,-1655.32,0.6621279999999999,14627.023223082339,31280.170302603805
1.17,-1.3709120000000001,-1595.24,0.638096,18355.60028087501,36247.53392639108
1.18,-1.3349440000000001,-1515.36,0.6061439999999999,18523.698913636123,32926.660671048085
1.19,-1.304992,-1437.52,0.575008,22003.699150728717,53175.58703481392
1.2,-1.276704,-1307.96,0.523184,15298.145124716551,49392.99183673469
1.21,-1.246816,-1222.88,0.48915200000000003,15124.56520617946,58981.97470062406
1.22,-1.2136639999999999,-1094.28,0.437712,13836.618420547473,50707.93041150887
1.23,-1.187936,-1027.76,0.41110399999999997,13875.42940237765,50365.97179359549
1.24,-1.156224,-895.36,0.358144,10661.836097602412,63220.59776168533
1.25,-1.157408,-897.24,0.358896,8232.07810612245,49792.50808163266
1.26,-1.1166719999999999,-777.96,0.311184,12322.783202472217,94544.66990605765
1.27,-1.092608,-694.8,0.27792,7138.624432350905,57513.48224329101
1.28,-1.078432,-643.12,0.257248,8337.24888392857,61497.46938775511
1.29,-1.051296,-505.56,0.202224,7261.498462734652,52782.95079892423
1.3,-1.023872,-413.84,0.165536,4862.346093466972,51359.10078492935
1.31,-1.023552,-343.2,0.13727999999999999,6867.033342093903,59734.4134600405
1.32,-1.001024,-325.56,0.130224,7385.078990273794,42118.897959183676
1.33,-1.0019200000000001,-324.08,0.129632,8581.096749853765,39967.219272671464
1.34,-0.968512,-248.28,0.099312,4711.540682211846,44675.35912275358
1.35,-0.962784,-132.76,0.053104,6015.26183477506,43266.98594104308
1.36,-0.943584,-164.52,0.065808,3792.391074076689,32919.06482593038
